class,period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS
0,0.445277068,3.539,187.0,35.74,2562.0,10177.11,6167.0,1.064
0,0.379463865,0.86896,1970.0,59.56,3000.0,19256.81,5075.0,1.783
0,9.88047978,2.78458,18500.0,23.6,860.0,129.45,6113.0,0.917
0,4.6484156,38.1939,128.0,5.06,2259.0,6152.88,6980.0,3.482
0,17.51201477,1.8248,4510.0,13.66,804.0,98.77,6224.0,1.132
1,3.9886021,1.7376,674.0,34.39,3145.0,23135.72,4813.0,13.652
1,0.533059312,1.8621,1500.0,133.56,5862.0,277887.7,8523.0,4.051
0,0.525154153,2.1441,748.0,23.61,2073.0,4391.51,5582.0,0.846
0,1.303861044,4.0541,598.0,27.85,1610.0,1595.19,5758.0,0.902
0,2.55549176,9.083,114.0,23.35,1312.0,701.68,5948.0,0.901
0,2.947376671,2.0911,433.0,403.59,2404.0,7903.84,8090.0,2.234
1,224.7789355,11.1899,3490.0,7.67,333.0,2.92,5873.0,1.235
0,0.890110752,0.8774,322.0,1.25,1372.0,838.42,4768.0,0.711
0,5.76573396,2.924,248.0,7.47,1964.0,3518.78,5772.0,4.434
1,7.42608123,3.6379,443.0,2.47,1037.0,273.78,6049.0,1.176
1,15.9868932,4.158,179.0,1.62,803.0,98.51,6049.0,1.176
0,0.73094589,4.32,250.0,17.12,1922.0,3248.17,5901.0,0.848
1,18.92537246,3.9835,641.0,13.92,1171.0,443.58,4941.0,4.885
0,0.933749106,4.256,186.0,3.22,2863.0,15822.49,6215.0,2.188
0,2.037440623,3.442,119.0,1.19,1572.0,1448.05,6253.0,1.015
1,129995.7784,9.408,1470.0,2.99,25.0,0.0,4500.0,0.726
1,31.5925809,13.566,145.0,1.78,688.0,53.09,5676.0,1.487
1,17.157236,11.284,110.0,1.55,844.0,119.87,5676.0,1.487
1,1.97376085,1.82542,30200.0,8.78,753.0,76.1,3807.0,0.503
1,13.11896244,4.3045,372.0,8.25,1768.0,2310.43,7221.0,4.24
0,4.618767792,5.9957,4400.0,7.48,1170.0,442.78,6013.0,1.033
1,7.82187328,3.8417,42.2,2.78,2101.0,4601.71,7221.0,4.24
1,53.5057611,10.5616,196.0,2.52,675.0,49.16,6247.0,1.762
1,2.785821236,3.5599,68.9,1.69,1784.0,2388.98,6202.0,1.733
0,52.56901867,6.7507,26900.0,78.54,737.0,69.62,7240.0,1.717
0,3.411758679,3.158,571.0,14.71,684.0,51.85,3995.0,0.561
0,0.525426427,1.0801,325.0,1.45,2069.0,4349.62,5791.0,0.802
1,1.269091415,1.4647,341.0,1.41,1331.0,740.47,5041.0,0.766
1,2.853133997,1.465,277.0,1.36,1016.0,251.77,5041.0,0.766
1,6.79685353,3.1702,393.0,2.01,985.0,222.91,6061.0,0.97
0,8.667822346,4.9658,2120.0,67.37,1303.0,681.39,6266.0,1.889
