class,period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS
0,0.525154153,2.1441,7.48E+02,23.61,2073,4391.51,5582,0.846
0,1.303861044,4.0541,5.98E+02,27.85,1610,1595.19,5758,0.902
0,2.55549176,9.083,1.14E+02,23.35,1312,701.68,5948,0.901
0,2.947376671,2.0911,4.33E+02,403.59,2404,7903.84,8090,2.234
1,224.7789355,11.1899,3.49E+03,7.67,333,2.92,5873,1.235
0,0.890110752,0.8774,3.22E+02,1.25,1372,838.42,4768,0.711
0,5.76573396,2.924,2.48E+02,7.47,1964,3518.78,5772,4.434
1,7.42608123,3.6379,4.43E+02,2.47,1037,273.78,6049,1.176
1,15.9868932,4.158,1.79E+02,1.62,803,98.51,6049,1.176
0,0.73094589,4.32,2.50E+02,17.12,1922,3248.17,5901,0.848
1,18.92537246,3.9835,6.41E+02,13.92,1171,443.58,4941,4.885
0,0.933749106,4.256,1.86E+02,3.22,2863,15822.49,6215,2.188
0,2.037440623,3.442,1.19E+02,1.19,1572,1448.05,6253,1.015
1,129995.7784,9.408,1.47E+03,2.99,25,0,4500,0.726
1,31.5925809,13.566,1.45E+02,1.78,688,53.09,5676,1.487
1,17.157236,11.284,1.10E+02,1.55,844,119.87,5676,1.487
1,1.97376085,1.82542,3.02E+04,8.78,753,76.1,3807,0.503
1,13.11896244,4.3045,3.72E+02,8.25,1768,2310.43,7221,4.24
0,4.618767792,5.9957,4.40E+03,7.48,1170,442.78,6013,1.033
1,7.82187328,3.8417,4.22E+01,2.78,2101,4601.71,7221,4.24
1,53.5057611,10.5616,1.96E+02,2.52,675,49.16,6247,1.762
1,2.785821236,3.5599,6.89E+01,1.69,1784,2388.98,6202,1.733
0,52.56901867,6.7507,2.69E+04,78.54,737,69.62,7240,1.717
0,3.411758679,3.158,5.71E+02,14.71,684,51.85,3995,0.561
0,0.525426427,1.0801,3.25E+02,1.45,2069,4349.62,5791,0.802
1,1.269091415,1.4647,3.41E+02,1.41,1331,740.47,5041,0.766
1,2.853133997,1.465,2.77E+02,1.36,1016,251.77,5041,0.766
1,6.79685353,3.1702,3.93E+02,2.01,985,222.91,6061,0.97
0,8.667822346,4.9658,2.12E+03,67.37,1303,681.39,6266,1.889
1,1.475323222,2.3155,1.55E+02,5.88,2740,13331.51,4941,4.885
1,4.15246118,2.5755,2.23E+02,7.62,1941,3354.56,4941,4.885
1,8.7348852,4.49,2.71E+02,1.59,890,148.62,5982,0.96
0,10.26547688,3.733,4.00E+02,1.81,770,83.13,5699,0.853
1,13.4471791,3.0454,1.43E+03,5.24,848,122.34,6276,1.041
0,3.305577989,2.5903,1.80E+04,25.89,1027,263.55,5534,0.707
0,4.800653901,9.0419,1.53E+04,16.91,1347,778.45,6715,1.241
0,15.06649901,5.9885,3.63E+04,56.44,932,177.96,5751,1.626
0,34.82008158,11.1711,1.88E+04,11.36,459,10.49,5114,0.784
0,0.651784374,2.0141,2.78E+03,33.65,2090,4500.59,5555,1.061
0,1.353771892,7.012,1.35E+03,430.99,4903,136609.48,4283,15.76
0,18.95491633,24.249,8.68E+02,71.39,1139,397.48,6362,2.534
0,4.348866254,3.2797,6.26E+02,2436.69,6421,401588.95,3598,101.451
0,47.93094546,2.6897,2.14E+03,68.02,905,158.41,8214,1.938
0,3.99751422,3.686,3.28E+01,2.98,2203,5563.95,5066,5.324
