class,period,tranDur,tranDep,radE,earthFlux,eqTemp,radS,st_rad
1,0.7645807,1.07057,394.9832006,1.2407226,1140.084569,399.2723837,3853,0.62326
1,12.6396982,3.3830702,3292.681286,4.6025162,640.0266601,39.6563977,5217,0.789425
1,1.7208555,1.8346409,10014.25874,13.4646314,1758.399429,2259.389668,5832.83,1.33402
1,4.7802597,1.4588658,1015.455004,7.6126429,1654.298952,1770.015134,5826,2.3387201
1,0.3814849,0.565,570,2.0605,1539,931.396,4255,0.71
1,4.6595169,0.9011821,1725.170626,2.1961507,519.9004855,17.2664038,3489,0.490729
1,6.4002807,2.1559875,1026.601873,2.2730301,699.0536347,56.4368797,4599,0.720551
1,4.8204512,1.756,1930,2.36747,572,17.8782,3692,0.52
1,18.6548829,5.4431451,1495.444947,4.3869878,585.8091542,27.832077,5141,0.876154
1,4.3074513,2.3379196,1094.84195,3.2819879,954.8757629,196.4755358,5141,0.876154
1,5.9041278,2.7678313,773.9266468,2.4489454,859.6105665,129.0410781,5141,0.876154
1,37.9251983,3.5345219,1370.788854,3.241643,462.4282696,10.8068346,5141,0.876154
1,15.9234883,4.021,493,2.18203,735,48.5414,5711.85,1.08
1,4.3601536,2.3408909,5592.290918,6.9564258,961.6063113,202.0738994,5227,0.874131
1,13.0791581,2.97,1143,3.25485,735,48.6058,5453,1
1,4.6517186,2.709,978,2.66889,1343,540.772,5154,0.85
1,9.1549418,2.457,1101,2.62011,710,42.2592,5154,0.85
1,19.9815709,2.724,909,2.54717,562,16.5853,5154,0.85
0,1.4415044,0.9274524,547.3172736,3.8345209,2198.307682,5519.1845,6603,1.58365
1,1.1219715,0.8226121,3997.644592,3.9968417,1479.536186,1132.461295,5780,0.624
0,4.6756655,1.914,738,4.03134,1085,230.204,5779,1.45
1,10.288886,1.391,854,2.63881,483,9.06856,5126,0.87
0,1.0332441,3.8017836,26111.5082,4.087988,516.1833775,16.7778791,2972,0.156193
1,5.4526479,3.401,7750,14.5502,1271,433.78,6509,1.57
1,10.2613397,4.855,726,3.60391,1152,372.358,6124,1.49
1,3.4779776,2.5103489,27021.69324,12.5541925,897.2038496,153.1388971,4699,0.765001
1,3.0354017,2.8809533,16196.21582,14.1334903,1324.240471,726.7556694,5751,1.07224
1,3.1274634,1.9812695,1331.83693,2.5802896,813.0378617,103.2675998,4225,0.693431
1,7.4931613,1.9339295,1650.64705,2.7733674,607.6028794,32.2107098,4225,0.693431
1,49.825166,3.8714976,2059.406904,3.8319135,323.1161011,2.5760566,4225,0.693431
1,18.0574016,3.592177,1198.057213,3.8092663,704.2235859,58.1250403,5897,1.01
1,20.8774413,3.562,771,2.16145,572,17.8402,5396,0.9
1,1.0214555,1.252,319,1.46266,1449,733.19,5098,0.82
1,2.7441672,1.418,5650,7.84317,1009,172.233,5040,0.97
1,2.2047452,3.996,6872,17.9781,2634,7992.22,6532.23,1.99
1,10.8948421,2.0719394,3168.385358,2.4691414,390.8242112,5.5137471,3618,0.435666
1,18.8016111,1.9093524,1686.788103,1.9112282,325.8292621,2.6636757,3618,0.435666
1,6.7900981,6.0786576,2158.173357,9.7548481,1192.256467,477.5289979,6378,2.00068
1,8.157721,3.788,10273,9.31888,860,91.0972,5091.2,0.9
1,4.2529641,2.5733867,758.584999,2.3483383,994.5309519,231.2034004,5591,0.848906
1,9.2378703,2.535,660,2.22995,757,54.6767,5591,0.85
1,3.7955178,2.0198135,52278.9941,10.3261619,525.9431131,18.0832336,3424,0.445372
0,14.3034613,3.135,48840,18.4949,551,15.38,5056.6,0.83
1,6.1349783,5.661,3860,13.1383,1509,861.554,5828.7,2.05
1,3.3159772,1.494,2770,4.5947,923,120.595,4972.7,0.81
1,4.6313014,1.435,4860,9.34848,1078,225.013,5736,1.07
1,19.3203478,4.215,13910,9.38964,534,13.544,4968.1,0.8
0,11.3246821,5.9704136,1937.582972,4.2917226,707.3693882,59.1706102,5518,0.824734
0,6.261169,2.0369188,4005.022808,1.3468319,414.5815396,6.9816945,3145,0.211257
1,14.8559691,3.711,1127,2.72638,788,64.0545,5544,0.86
1,14.4751062,1.6182484,9618.579853,8.6976173,407.866275,6.5402175,3841,0.55035
1,9.6141636,3.4271882,933.6532689,3.2264735,749.8978043,74.7359105,5477,0.840608
1,4.9404714,1.954,455,2.3216,1178,320.012,6086,1.13
