period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS,confidence_positive
24.8366994,4.793,10898.0,8.57154,700.0,40.0666,6334.0,0.89,0.9961357
6.00327,3.947,4920.0,7.59354,1130.0,271.529,5527.0,1.06,0.99999833
12.4262889,18.764,94.2,1.23,864.0,131.83,6246.0,1.092,0.00016214751
159.05846,10.08,194.0,1.54,376.0,4.73,6365.0,1.033,0.8521509
11.1684037,5.354,9660.0,12.77,1171.0,312.155,5981.0,1.22,0.99983
76.8663962,6.7753035,341.5578492,1.9249103,383.3506039,5.1039406,5482.02,0.877042,0.9999
13.6471211,8.331,75.0,1.25,913.0,164.06,5771.0,1.382,0.99998116
0.905672916,1.0,110.0,0.76,1468.0,1096.04,4949.0,0.741,1.0
3.74782314,5.133,423.0,25.59,1253.0,583.52,6161.0,1.053,0.9934849
1.29019586,3.741,86.5,0.78,1530.0,1293.44,5693.0,0.842,0.9999981
0.2580006,0.5351356,812.7310325,6.2776081,5634.05944,238125.9359,9035.0,2.08687,0.0
474.22897,13.05,475.0,2.0,225.0,0.6,5818.0,0.925,0.08878093
361.91436,8.68,228.0,1.84,297.0,1.84,6247.0,1.147,0.9886629
0.576732089,1.856,35.4,0.43,1537.0,1316.33,4524.0,0.717,1.0
24.81097206,3.2245,2090.0,4.22,631.0,37.43,6086.0,0.921,0.9999902
7.13044117,2.566,31.9,1.18,1400.0,908.79,6312.0,2.074,1.0
1.08749101,1.6192,126.0,4.91,3081.0,21388.7,5988.0,3.204,1.0
2.1738256,2.081,2730.0,17.3093,1899.0,2159.42,7588.0,3.28,1.0
1.58826263,2.655,78.9,0.47,862.0,130.67,3931.0,0.544,1.0
66.36099916,20.0614,417000.0,61.42,420.0,7.33,5583.0,0.857,0.0
1.57017249,2.257,158.0,0.82,1232.0,543.06,5300.0,0.66,0.9999999
276.879492,3.779,1760.0,11.67,260.0,1.08,5324.0,0.966,0.9999913
13.73808249,3.354,661.0,3.84,912.0,163.52,6375.0,1.178,0.99999726
0.843379985,1.4474,343.0,1.7,1541.0,1329.99,4818.0,0.856,1.0
